,pred_Good,pred_Moderate,pred_Unhealthy for Sensitive Groups,pred_Unhealthy,pred_Very Unhealthy,pred_Hazardous
true_Good,10056,2946,34,37,8,3
true_Moderate,2019,13953,1936,793,0,3
true_Unhealthy for Sensitive Groups,21,2246,5220,3469,2,3
true_Unhealthy,24,842,1139,24410,1465,81
true_Very Unhealthy,0,68,19,965,5813,1130
true_Hazardous,0,0,0,37,108,3556
