model,train_rows,test_rows,training_time_sec,testing_time_sec,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,roc_auc_ovr_macro
HistGradientBoostingClassifier,329623,82406,22.15326289999939,1.1804065000033006,0.7793243210445842,0.7608064228401018,0.7759808581897012,0.7653024025462765,0.7768781378960338,0.7793243210445842,0.7764161551115171,0.9649586325235723
RandomForestClassifier,329623,82406,26.51247819999844,0.7555806000018492,0.7793728611994273,0.7782456257876084,0.7593819326073206,0.7628325957173772,0.7788221622541734,0.7793728611994273,0.7736347163575965,0.9653674381989497
GradientBoostingClassifier,329623,82406,8136.650565700002,1.3419188000043505,0.7646045190884159,0.7504736500620246,0.7586164816696593,0.7499167634634841,0.7612847263455326,0.7646045190884159,0.760226883414929,0.9624834467667921
ExtraTreesClassifier,329623,82406,82.46721030000117,2.803013300002931,0.7396184743829333,0.7548538367981498,0.6928766463226742,0.7032020604635497,0.7379855823482013,0.7396184743829333,0.7198340033346238,0.9537804365646648
LogisticRegression,329623,82406,147.09047529999953,0.058591199998772936,0.6906293231075407,0.6831512749124607,0.6333038616814167,0.6318639116321434,0.6700983586875898,0.6906293231075407,0.6577293439596787,0.9374245410786965
