horizon,feature,score,selected
1,PM2.5,1.5543260876542728,True
1,PM10,0.8431455021599712,True
1,CO,0.5152439484459999,True
1,NO2,0.38936337025269374,True
1,SO2,0.17687009328058245,True
1,DEWP,0.16150741673329705,True
1,O3,0.14546567134859956,True
1,WSPM,0.09043924972118234,True
1,month,0.07780068014511077,True
1,PRES,0.07757722894005692,True
1,TEMP,0.06797354168718339,True
1,day,0.05317540291847944,True
1,wd_NW,0.024053254631873244,False
1,wd_NNW,0.02361967037396795,False
1,year,0.016712518208426452,False
1,wd_SW,0.014422108673975309,False
1,wd_SSW,0.012411206736599123,False
1,RAIN,0.01109001951637456,False
1,wd_W,0.009814568733744089,False
1,wd_NNE,0.0074216420320682985,False
1,wd_SE,0.006827669172952966,False
1,wd_WNW,0.006769090281629975,False
1,wd_N,0.0062087371945849235,False
1,wd_ENE,0.0033905074708431293,False
1,wd_WSW,0.0033183188345935477,False
1,wd_S,0.002866714656851066,False
1,wd_NE,0.0009606792381227081,False
1,wd_SSE,0.0009276464626641889,False
1,hour,0.0,False
1,wd_ESE,0.0,False
8,PM2.5,0.43199979911461917,True
8,PM10,0.29824885138777457,True
8,CO,0.2291835284140742,True
8,NO2,0.19372358071092943,True
8,DEWP,0.12301223112591941,True
8,SO2,0.1130875820290349,True
8,O3,0.0897166169559922,True
8,month,0.08352365097450143,True
8,PRES,0.0740946497759305,True
8,WSPM,0.0688621301269059,True
8,TEMP,0.06708247117420996,True
8,day,0.04865676508529315,True
8,wd_NNW,0.025219738938100367,False
8,wd_SSW,0.020143979069473072,False
8,year,0.02011304556689275,False
8,wd_SW,0.015949450767193785,False
8,wd_ESE,0.015449233680137286,False
8,wd_NW,0.014571674785457844,False
8,wd_N,0.008315069117074358,False
8,wd_ENE,0.007344761858017357,False
8,wd_S,0.00669497430695154,False
8,wd_SSE,0.006463223278112107,False
8,RAIN,0.0039263376435423325,False
8,wd_NE,0.0035733571385021534,False
8,wd_WNW,0.0032768259519122545,False
8,wd_WSW,0.002788014470518352,False
8,hour,0.001827348398889761,False
8,wd_NNE,0.0014822330105110915,False
8,wd_SE,0.0,False
8,wd_W,0.0,False
24,PM2.5,0.15171741198182698,True
24,PM10,0.11840254578041876,True
24,CO,0.11042067467346595,True
24,NO2,0.10603681374580987,True
24,DEWP,0.0765692758983123,True
24,month,0.0755543121340212,True
24,PRES,0.07077109916744195,True
24,SO2,0.062220698191816304,True
24,TEMP,0.04889870482233771,True
24,day,0.04731638683030592,True
24,WSPM,0.03980032861408933,True
24,O3,0.032023395778361774,True
24,wd_NW,0.017871056090597026,False
24,year,0.015871589424900634,False
24,hour,0.014963662290517377,False
24,wd_NNW,0.014008351547182496,False
24,wd_SE,0.011377500497509185,False
24,wd_ENE,0.010991033122834004,False
24,wd_WNW,0.009335654506841262,False
24,wd_N,0.007676106436286911,False
24,wd_WSW,0.006253709785239536,False
24,wd_SSW,0.004347723628381761,False
24,wd_S,0.0027262311847437992,False
24,RAIN,0.0015746712474009605,False
24,wd_NE,0.0015517444982053874,False
24,wd_SSE,0.0007951332922822019,False
24,wd_W,0.0006353109675871771,False
24,wd_NNE,0.00046883386226692636,False
24,wd_SW,0.0001508225237403238,False
24,wd_ESE,0.0,False
