model,train_rows,test_rows,training_time_sec,testing_time_sec,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,roc_auc_ovr_macro
GradientBoostingClassifier,40000,10000,55.113326299997425,0.06783639999775914,0.7695,0.7719255909242756,0.748507162221038,0.7560702291185034,0.7677916584514384,0.7695,0.7652575545071914,0.9637679196205252
HistGradientBoostingClassifier,40000,10000,5.48550940000132,0.11457529999825056,0.7649,0.7642158376575404,0.746913907749848,0.7538990539762916,0.7637037849528582,0.7649,0.7629881780446003,0.9643091255249717
RandomForestClassifier,40000,10000,2.1310154000020702,0.11701220000031753,0.7514,0.7664848051353222,0.7036975656831714,0.7234846524908768,0.7526038305189776,0.7514,0.7427827141092398,0.9611601867352871
ExtraTreesClassifier,40000,10000,2.5108962999984215,0.17080870000063442,0.7024,0.7345447748453601,0.6274994983021526,0.6476552279939322,0.708661120093655,0.7024,0.6797989974596164,0.947079626724034
LogisticRegression,40000,10000,19.32555990000037,0.008848299999954179,0.6831,0.67376618082597,0.611003882006606,0.6190960914743459,0.6613305907109434,0.6831,0.6545484741291219,0.9367315845708611
