,pred_Good,pred_Moderate,pred_Unhealthy for Sensitive Groups,pred_Unhealthy,pred_Very Unhealthy,pred_Hazardous
true_Good,1426,292,5,5,0,0
true_Moderate,466,1700,141,45,0,0
true_Unhealthy for Sensitive Groups,7,342,699,220,1,1
true_Unhealthy,3,117,209,2742,109,11
true_Very Unhealthy,0,4,3,229,709,57
true_Hazardous,0,1,2,9,72,373
