,pred_Good,pred_Moderate,pred_Unhealthy for Sensitive Groups,pred_Unhealthy,pred_Very Unhealthy,pred_Hazardous
true_Good,1408,312,3,5,0,0
true_Moderate,410,1742,132,67,0,1
true_Unhealthy for Sensitive Groups,6,361,622,279,1,1
true_Unhealthy,3,118,118,2819,114,19
true_Very Unhealthy,0,11,3,215,717,56
true_Hazardous,0,1,2,8,59,387
