,pred_Good,pred_Moderate,pred_Unhealthy for Sensitive Groups,pred_Unhealthy,pred_Very Unhealthy,pred_Hazardous
true_Good,1371,348,1,8,0,0
true_Moderate,387,1820,76,69,0,0
true_Unhealthy for Sensitive Groups,7,462,497,303,1,0
true_Unhealthy,2,117,111,2862,95,4
true_Very Unhealthy,0,5,0,332,624,41
true_Hazardous,0,4,0,6,107,340
