,pred_Good,pred_Moderate,pred_Unhealthy for Sensitive Groups,pred_Unhealthy,pred_Very Unhealthy,pred_Hazardous
true_Good,1391,328,2,7,0,0
true_Moderate,550,1673,64,65,0,0
true_Unhealthy for Sensitive Groups,7,695,133,433,0,2
true_Unhealthy,0,173,123,2818,65,12
true_Very Unhealthy,0,0,0,456,524,22
true_Hazardous,0,0,0,2,163,292
